Level,Total,Im Model,Silo,RiskClass,SensitivityType,Bucket,WeightedSensisitvity,AllocationType,tradeID,ExposureAmount,identifier,parentIdentifier
1,Total,,,,,,,None,,6243814.186741408,0,
1,Total,,,,,,,Euler,DZ14788807,1016367.0133944089,0,
1,Total,,,,,,,Euler,DZ14815705,-1232.5318161687483,0,
1,Total,,,,,,,Euler,DZ15108536,43059.407996372625,0,
1,Total,,,,,,,Euler,DZ15312686,227825.15034368233,0,
1,Total,,,,,,,Euler,DZ15312687,0.13417540705260964,0,
1,Total,,,,,,,Euler,DZ15312688,553.2844037415117,0,
1,Total,,,,,,,Euler,DZ15312689,7960.431056677269,0,
1,Total,,,,,,,Euler,DZ15312690,31520.882468792508,0,
1,Total,,,,,,,Euler,DZ16300425,303448.8416181697,0,
1,Total,,,,,,,Euler,DZ16402481,521271.21940894413,0,
1,Total,,,,,,,Euler,DZ16402482,3.7406943060383013,0,
1,Total,,,,,,,Euler,DZ16402483,2583.000464485535,0,
1,Total,,,,,,,Euler,DZ16402484,22774.138176114033,0,
1,Total,,,,,,,Euler,DZ16402485,64860.22751588354,0,
1,Total,,,,,,,Euler,DZ16617574,1148114.7256310834,0,
1,Total,,,,,,,Euler,DZ16617794,11180.413411337477,0,
1,Total,,,,,,,Euler,DZ16617795,75949.62168710322,0,
1,Total,,,,,,,Euler,DZ16617796,192302.55659511403,0,
1,Total,,,,,,,Euler,DZ16617797,309543.9342021358,0,
1,Total,,,,,,,Euler,DZ16966167,2265727.9953138176,0,
1,Total,,,,,,,Standalone,DZ14788807,1024156.5400967048,0,
1,Total,,,,,,,Standalone,DZ14815705,2551.3120807889804,0,
1,Total,,,,,,,Standalone,DZ15108536,56761.799882615516,0,
1,Total,,,,,,,Standalone,DZ15312686,229474.36443198414,0,
1,Total,,,,,,,Standalone,DZ15312687,0.2844883310624132,0,
1,Total,,,,,,,Standalone,DZ15312688,629.4677462418605,0,
1,Total,,,,,,,Standalone,DZ15312689,8485.414308061481,0,
1,Total,,,,,,,Standalone,DZ15312690,33520.677696907944,0,
1,Total,,,,,,,Standalone,DZ16300425,352454.5114138699,0,
1,Total,,,,,,,Standalone,DZ16402481,522999.6150549172,0,
1,Total,,,,,,,Standalone,DZ16402482,6.1081626210904085,0,
1,Total,,,,,,,Standalone,DZ16402483,2888.6388632114895,0,
1,Total,,,,,,,Standalone,DZ16402484,24227.65894203497,0,
1,Total,,,,,,,Standalone,DZ16402485,69074.77382311567,0,
